Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,247,    14.682,yes,     0.000,ML/MOM,weibull3,     0.918,     1.472,     3.849,     3.962,       NaN,     5.646,       NaN,       NaN,     6.320,       NaN,       NaN,     6.585,       NaN,       NaN,     6.917,       NaN,       NaN,     6.981,       NaN,       NaN,     7.081,       NaN,       NaN,     7.157,       NaN,       NaN,     7.389,       NaN,
S,229,    13.613,yes,     0.000,ML/MOM,weibull3,     0.946,     1.495,     3.847,     3.962,       NaN,     5.644,       NaN,       NaN,     6.325,       NaN,       NaN,     6.590,       NaN,       NaN,     6.923,       NaN,       NaN,     6.987,       NaN,       NaN,     7.087,       NaN,       NaN,     7.163,       NaN,       NaN,     7.395,       NaN,
SW,17,     1.011,yes,     0.000,ML/MOM,weibull3,     0.921,     2.338,     3.616,     3.962,       NaN,     3.747,       NaN,       NaN,     4.748,       NaN,       NaN,     4.934,       NaN,       NaN,     5.136,       NaN,       NaN,     5.172,       NaN,       NaN,     5.227,       NaN,       NaN,     5.268,       NaN,       NaN,     5.387,       NaN,
