Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,679,    40.362,no,     0.000,ML/MOM,weibull3,     1.145,     1.438,     2.888,     3.045,       NaN,     5.731,       NaN,       NaN,     6.544,       NaN,       NaN,     6.870,       NaN,       NaN,     7.283,       NaN,       NaN,     7.364,       NaN,       NaN,     7.489,       NaN,       NaN,     7.585,       NaN,       NaN,     7.879,       NaN,
SE,13,     0.773,no,     0.000,ML/MOM,weibull3,     0.799,     1.099,     2.748,     3.045,       NaN,     2.525,       NaN,       NaN,     3.800,       NaN,       NaN,     4.281,       NaN,       NaN,     4.895,       NaN,       NaN,     5.015,       NaN,       NaN,     5.203,       NaN,       NaN,     5.348,       NaN,       NaN,     5.793,       NaN,
S,640,    38.044,no,     0.000,ML/MOM,weibull3,     1.172,     1.462,     2.892,     3.045,       NaN,     5.728,       NaN,       NaN,     6.535,       NaN,       NaN,     6.858,       NaN,       NaN,     7.267,       NaN,       NaN,     7.346,       NaN,       NaN,     7.470,       NaN,       NaN,     7.565,       NaN,       NaN,     7.854,       NaN,
SW,26,     1.546,yes,     0.000,ML/MOM,weibull3,     0.368,     1.020,     3.110,     3.045,       NaN,     3.273,       NaN,       NaN,     3.852,       NaN,       NaN,     4.097,       NaN,       NaN,     4.421,       NaN,       NaN,     4.485,       NaN,       NaN,     4.586,       NaN,       NaN,     4.664,       NaN,       NaN,     4.906,       NaN,
