Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,308,    18.315,no,     0.000,ML/MOM,weibull3,     0.303,     1.064,     1.641,     1.617,       NaN,     2.467,       NaN,       NaN,     2.890,       NaN,       NaN,     3.069,       NaN,       NaN,     3.304,       NaN,       NaN,     3.351,       NaN,       NaN,     3.424,       NaN,       NaN,     3.480,       NaN,       NaN,     3.655,       NaN,
SE,307,    18.255,no,     0.000,ML/MOM,weibull3,     0.304,     1.066,     1.641,     1.617,       NaN,     2.467,       NaN,       NaN,     2.890,       NaN,       NaN,     3.069,       NaN,       NaN,     3.304,       NaN,       NaN,     3.350,       NaN,       NaN,     3.423,       NaN,       NaN,     3.480,       NaN,       NaN,     3.655,       NaN,
