Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,470,    27.946,yes,     0.000,ML/MOM,weibull3,     0.660,     1.200,     3.046,     3.093,       NaN,     4.844,       NaN,       NaN,     5.543,       NaN,       NaN,     5.832,       NaN,       NaN,     6.204,       NaN,       NaN,     6.277,       NaN,       NaN,     6.392,       NaN,       NaN,     6.480,       NaN,       NaN,     6.752,       NaN,
E,64,     3.805,yes,     0.000,ML/MOM,weibull3,     0.348,     0.919,     3.102,     3.093,       NaN,     3.579,       NaN,       NaN,     4.230,       NaN,       NaN,     4.522,       NaN,       NaN,     4.915,       NaN,       NaN,     4.995,       NaN,       NaN,     5.120,       NaN,       NaN,     5.218,       NaN,       NaN,     5.524,       NaN,
SE,45,     2.676,no,     0.000,ML/MOM,weibull3,     0.303,     0.675,     3.301,     3.093,       NaN,     3.597,       NaN,       NaN,     4.545,       NaN,       NaN,     5.068,       NaN,       NaN,     5.845,       NaN,       NaN,     6.010,       NaN,       NaN,     6.278,       NaN,       NaN,     6.490,       NaN,       NaN,     7.182,       NaN,
S,361,    21.465,yes,     0.000,ML/MOM,weibull3,     0.754,     1.345,     3.007,     3.093,       NaN,     4.742,       NaN,       NaN,     5.381,       NaN,       NaN,     5.638,       NaN,       NaN,     5.966,       NaN,       NaN,     6.029,       NaN,       NaN,     6.129,       NaN,       NaN,     6.205,       NaN,       NaN,     6.438,       NaN,
