Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,585,    34.774,yes,     0.000,ML/MOM,weibull3,     0.446,     1.070,     2.011,     1.992,       NaN,     3.467,       NaN,       NaN,     4.077,       NaN,       NaN,     4.336,       NaN,       NaN,     4.674,       NaN,       NaN,     4.741,       NaN,       NaN,     4.847,       NaN,       NaN,     4.928,       NaN,       NaN,     5.181,       NaN,
E,327,    19.438,yes,     0.000,ML/MOM,weibull3,     0.556,     1.171,     2.028,     1.992,       NaN,     3.436,       NaN,       NaN,     4.066,       NaN,       NaN,     4.327,       NaN,       NaN,     4.664,       NaN,       NaN,     4.731,       NaN,       NaN,     4.834,       NaN,       NaN,     4.915,       NaN,       NaN,     5.161,       NaN,
SE,258,    15.336,yes,     0.000,ML/MOM,weibull3,     0.315,     1.071,     1.999,     1.992,       NaN,     2.804,       NaN,       NaN,     3.240,       NaN,       NaN,     3.424,       NaN,       NaN,     3.665,       NaN,       NaN,     3.712,       NaN,       NaN,     3.787,       NaN,       NaN,     3.845,       NaN,       NaN,     4.025,       NaN,
