Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,235,    13.972,no,     0.000,ML/MOM,weibull3,     0.363,     1.034,     2.361,     2.381,       NaN,     3.288,       NaN,       NaN,     3.831,       NaN,       NaN,     4.062,       NaN,       NaN,     4.367,       NaN,       NaN,     4.427,       NaN,       NaN,     4.522,       NaN,       NaN,     4.596,       NaN,       NaN,     4.824,       NaN,
E,25,     1.486,yes,     0.000,ML/MOM,weibull3,     0.202,     0.767,     2.444,     2.381,       NaN,     2.504,       NaN,       NaN,     2.944,       NaN,       NaN,     3.180,       NaN,       NaN,     3.522,       NaN,       NaN,     3.593,       NaN,       NaN,     3.708,       NaN,       NaN,     3.799,       NaN,       NaN,     4.090,       NaN,
SE,162,     9.632,yes,     0.000,ML/MOM,weibull3,     0.397,     1.064,     2.365,     2.381,       NaN,     3.222,       NaN,       NaN,     3.784,       NaN,       NaN,     4.022,       NaN,       NaN,     4.332,       NaN,       NaN,     4.394,       NaN,       NaN,     4.490,       NaN,       NaN,     4.565,       NaN,       NaN,     4.796,       NaN,
S,48,     2.854,no,     0.000,ML/MOM,weibull3,     0.188,     0.781,     2.408,     2.381,       NaN,     2.607,       NaN,       NaN,     3.065,       NaN,       NaN,     3.291,       NaN,       NaN,     3.612,       NaN,       NaN,     3.678,       NaN,       NaN,     3.784,       NaN,       NaN,     3.868,       NaN,       NaN,     4.134,       NaN,
