Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,811,    48.219,yes,     0.000,ML/MOM,weibull3,     0.470,     1.040,     2.227,     2.210,       NaN,     3.957,       NaN,       NaN,     4.643,       NaN,       NaN,     4.936,       NaN,       NaN,     5.321,       NaN,       NaN,     5.398,       NaN,       NaN,     5.518,       NaN,       NaN,     5.611,       NaN,       NaN,     5.901,       NaN,
NE,10,     0.595,yes,     0.000,ML/MOM,weibull3,     0.111,     1.486,     2.185,     2.210,       NaN,     2.148,       NaN,       NaN,     2.303,       NaN,       NaN,     2.350,       NaN,       NaN,     2.403,       NaN,       NaN,     2.412,       NaN,       NaN,     2.427,       NaN,       NaN,     2.439,       NaN,       NaN,     2.473,       NaN,
E,175,    10.405,yes,     0.000,ML/MOM,weibull3,     0.402,     1.052,     2.220,     2.210,       NaN,     3.123,       NaN,       NaN,     3.705,       NaN,       NaN,     3.952,       NaN,       NaN,     4.275,       NaN,       NaN,     4.339,       NaN,       NaN,     4.439,       NaN,       NaN,     4.517,       NaN,       NaN,     4.759,       NaN,
SE,276,    16.410,yes,     0.000,ML/MOM,weibull3,     0.538,     1.011,     2.221,     2.210,       NaN,     3.711,       NaN,       NaN,     4.556,       NaN,       NaN,     4.919,       NaN,       NaN,     5.398,       NaN,       NaN,     5.493,       NaN,       NaN,     5.643,       NaN,       NaN,     5.760,       NaN,       NaN,     6.121,       NaN,
S,350,    20.810,yes,     0.000,ML/MOM,weibull3,     0.557,     1.306,     2.172,     2.210,       NaN,     3.475,       NaN,       NaN,     3.976,       NaN,       NaN,     4.178,       NaN,       NaN,     4.437,       NaN,       NaN,     4.487,       NaN,       NaN,     4.566,       NaN,       NaN,     4.627,       NaN,       NaN,     4.812,       NaN,
