Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,795,    47.271,yes,     0.000,ML/MOM,weibull3,     0.600,     1.105,     2.556,     2.535,       NaN,     4.590,       NaN,       NaN,     5.345,       NaN,       NaN,     5.664,       NaN,       NaN,     6.080,       NaN,       NaN,     6.162,       NaN,       NaN,     6.291,       NaN,       NaN,     6.391,       NaN,       NaN,     6.699,       NaN,
E,151,     8.978,no,     0.000,ML/MOM,weibull3,     0.463,     1.080,     2.599,     2.535,       NaN,     3.557,       NaN,       NaN,     4.193,       NaN,       NaN,     4.460,       NaN,       NaN,     4.809,       NaN,       NaN,     4.878,       NaN,       NaN,     4.986,       NaN,       NaN,     5.070,       NaN,       NaN,     5.328,       NaN,
SE,112,     6.660,no,     0.000,ML/MOM,weibull3,     0.669,     0.982,     2.591,     2.535,       NaN,     3.874,       NaN,       NaN,     4.991,       NaN,       NaN,     5.475,       NaN,       NaN,     6.117,       NaN,       NaN,     6.245,       NaN,       NaN,     6.447,       NaN,       NaN,     6.604,       NaN,       NaN,     7.093,       NaN,
S,532,    31.633,no,     0.000,ML/MOM,weibull3,     0.718,     1.307,     2.471,     2.535,       NaN,     4.325,       NaN,       NaN,     4.956,       NaN,       NaN,     5.212,       NaN,       NaN,     5.540,       NaN,       NaN,     5.604,       NaN,       NaN,     5.704,       NaN,       NaN,     5.781,       NaN,       NaN,     6.017,       NaN,
SW,2,     0.119,no,     0.000,ML/MOM,weibull3,       NaN,       NaN,       NaN,     2.535,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
