Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,565,    33.595,yes,     0.000,ML/MOM,weibull3,     0.412,     1.143,     2.413,     2.411,       NaN,     3.649,       NaN,       NaN,     4.133,       NaN,       NaN,     4.334,       NaN,       NaN,     4.597,       NaN,       NaN,     4.649,       NaN,       NaN,     4.730,       NaN,       NaN,     4.792,       NaN,       NaN,     4.986,       NaN,
E,100,     5.946,yes,     0.000,ML/MOM,weibull3,     0.376,     1.121,     2.399,     2.411,       NaN,     3.029,       NaN,       NaN,     3.517,       NaN,       NaN,     3.719,       NaN,       NaN,     3.980,       NaN,       NaN,     4.032,       NaN,       NaN,     4.112,       NaN,       NaN,     4.174,       NaN,       NaN,     4.366,       NaN,
SE,172,    10.227,yes,     0.000,ML/MOM,weibull3,     0.478,     1.117,     2.419,     2.411,       NaN,     3.436,       NaN,       NaN,     4.049,       NaN,       NaN,     4.303,       NaN,       NaN,     4.634,       NaN,       NaN,     4.699,       NaN,       NaN,     4.802,       NaN,       NaN,     4.881,       NaN,       NaN,     5.124,       NaN,
S,293,    17.422,yes,     0.000,ML/MOM,weibull3,     0.458,     1.410,     2.361,     2.411,       NaN,     3.326,       NaN,       NaN,     3.685,       NaN,       NaN,     3.828,       NaN,       NaN,     4.008,       NaN,       NaN,     4.043,       NaN,       NaN,     4.098,       NaN,       NaN,     4.140,       NaN,       NaN,     4.267,       NaN,
