Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,504,    29.968,no,     0.000,ML/MOM,weibull3,     0.475,     1.016,     2.717,     2.694,       NaN,     4.301,       NaN,       NaN,     5.037,       NaN,       NaN,     5.352,       NaN,       NaN,     5.768,       NaN,       NaN,     5.851,       NaN,       NaN,     5.981,       NaN,       NaN,     6.082,       NaN,       NaN,     6.396,       NaN,
E,112,     6.660,yes,     0.000,ML/MOM,weibull3,     0.386,     1.011,     2.725,     2.694,       NaN,     3.453,       NaN,       NaN,     4.061,       NaN,       NaN,     4.322,       NaN,       NaN,     4.667,       NaN,       NaN,     4.735,       NaN,       NaN,     4.843,       NaN,       NaN,     4.927,       NaN,       NaN,     5.187,       NaN,
SE,184,    10.941,yes,     0.000,ML/MOM,weibull3,     0.673,     1.105,     2.658,     2.694,       NaN,     4.140,       NaN,       NaN,     5.018,       NaN,       NaN,     5.385,       NaN,       NaN,     5.862,       NaN,       NaN,     5.956,       NaN,       NaN,     6.104,       NaN,       NaN,     6.218,       NaN,       NaN,     6.570,       NaN,
S,210,    12.487,no,     0.000,ML/MOM,weibull3,     0.585,     1.512,     2.604,     2.694,       NaN,     3.683,       NaN,       NaN,     4.099,       NaN,       NaN,     4.260,       NaN,       NaN,     4.462,       NaN,       NaN,     4.501,       NaN,       NaN,     4.561,       NaN,       NaN,     4.608,       NaN,       NaN,     4.748,       NaN,
