Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,809,    48.103,yes,     0.000,ML/MOM,weibull3,     0.545,     1.355,     1.977,     2.020,       NaN,     3.457,       NaN,       NaN,     3.891,       NaN,       NaN,     4.066,       NaN,       NaN,     4.291,       NaN,       NaN,     4.335,       NaN,       NaN,     4.403,       NaN,       NaN,     4.456,       NaN,       NaN,     4.617,       NaN,
E,192,    11.416,no,     0.000,ML/MOM,weibull3,     0.432,     1.200,     2.037,     2.020,       NaN,     2.944,       NaN,       NaN,     3.422,       NaN,       NaN,     3.617,       NaN,       NaN,     3.868,       NaN,       NaN,     3.917,       NaN,       NaN,     3.994,       NaN,       NaN,     4.053,       NaN,       NaN,     4.235,       NaN,
SE,616,    36.627,yes,     0.000,ML/MOM,weibull3,     0.582,     1.406,     1.956,     2.020,       NaN,     3.404,       NaN,       NaN,     3.839,       NaN,       NaN,     4.014,       NaN,       NaN,     4.237,       NaN,       NaN,     4.280,       NaN,       NaN,     4.347,       NaN,       NaN,     4.399,       NaN,       NaN,     4.557,       NaN,
