Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,813,    48.338,no,     0.000,ML/MOM,weibull3,     0.449,     0.986,     2.323,     2.280,       NaN,     4.096,       NaN,       NaN,     4.844,       NaN,       NaN,     5.167,       NaN,       NaN,     5.595,       NaN,       NaN,     5.680,       NaN,       NaN,     5.815,       NaN,       NaN,     5.919,       NaN,       NaN,     6.244,       NaN,
NE,95,     5.648,yes,     0.000,ML/MOM,weibull3,     0.283,     1.094,     2.301,     2.280,       NaN,     2.769,       NaN,       NaN,     3.154,       NaN,       NaN,     3.315,       NaN,       NaN,     3.524,       NaN,       NaN,     3.565,       NaN,       NaN,     3.630,       NaN,       NaN,     3.679,       NaN,       NaN,     3.834,       NaN,
E,154,     9.156,yes,     0.000,ML/MOM,weibull3,     0.542,     1.280,     2.254,     2.280,       NaN,     3.264,       NaN,       NaN,     3.801,       NaN,       NaN,     4.016,       NaN,       NaN,     4.290,       NaN,       NaN,     4.343,       NaN,       NaN,     4.426,       NaN,       NaN,     4.490,       NaN,       NaN,     4.685,       NaN,
SE,304,    18.075,no,     0.000,ML/MOM,weibull3,     0.497,     0.937,     2.319,     2.280,       NaN,     3.865,       NaN,       NaN,     4.797,       NaN,       NaN,     5.207,       NaN,       NaN,     5.753,       NaN,       NaN,     5.863,       NaN,       NaN,     6.036,       NaN,       NaN,     6.171,       NaN,       NaN,     6.591,       NaN,
S,260,    15.459,no,     0.000,ML/MOM,weibull3,     0.629,     1.400,     2.220,     2.280,       NaN,     3.511,       NaN,       NaN,     4.016,       NaN,       NaN,     4.216,       NaN,       NaN,     4.469,       NaN,       NaN,     4.518,       NaN,       NaN,     4.594,       NaN,       NaN,     4.653,       NaN,       NaN,     4.831,       NaN,
