Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,817,    48.576,yes,     0.000,ML/MOM,weibull3,     0.431,     1.124,     2.013,     2.010,       NaN,     3.452,       NaN,       NaN,     3.973,       NaN,       NaN,     4.191,       NaN,       NaN,     4.476,       NaN,       NaN,     4.532,       NaN,       NaN,     4.621,       NaN,       NaN,     4.689,       NaN,       NaN,     4.899,       NaN,
NE,3,     0.178,yes,     0.000,ML/MOM,weibull3,     0.094,     1.290,     1.986,     2.010,       NaN,     1.877,       NaN,       NaN,     1.973,       NaN,       NaN,     2.048,       NaN,       NaN,     2.115,       NaN,       NaN,     2.127,       NaN,       NaN,     2.145,       NaN,       NaN,     2.159,       NaN,       NaN,     2.200,       NaN,
E,284,    16.886,no,     0.000,ML/MOM,weibull3,     0.429,     1.229,     1.991,     2.010,       NaN,     2.989,       NaN,       NaN,     3.431,       NaN,       NaN,     3.612,       NaN,       NaN,     3.844,       NaN,       NaN,     3.889,       NaN,       NaN,     3.961,       NaN,       NaN,     4.015,       NaN,       NaN,     4.183,       NaN,
SE,483,    28.717,yes,     0.000,ML/MOM,weibull3,     0.478,     1.149,     2.007,     2.010,       NaN,     3.379,       NaN,       NaN,     3.936,       NaN,       NaN,     4.168,       NaN,       NaN,     4.469,       NaN,       NaN,     4.529,       NaN,       NaN,     4.622,       NaN,       NaN,     4.694,       NaN,       NaN,     4.915,       NaN,
S,47,     2.794,yes,     0.000,ML/MOM,weibull3,     0.274,     1.416,     2.019,     2.010,       NaN,     2.299,       NaN,       NaN,     2.563,       NaN,       NaN,     2.660,       NaN,       NaN,     2.780,       NaN,       NaN,     2.803,       NaN,       NaN,     2.839,       NaN,       NaN,     2.866,       NaN,       NaN,     2.948,       NaN,
