Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,547,    32.527,yes,     0.000,ML/MOM,weibull3,     0.982,     1.726,     2.064,     2.239,       NaN,     4.086,       NaN,       NaN,     4.585,       NaN,       NaN,     4.778,       NaN,       NaN,     5.019,       NaN,       NaN,     5.066,       NaN,       NaN,     5.138,       NaN,       NaN,     5.193,       NaN,       NaN,     5.360,       NaN,
W,503,    29.910,no,     0.000,ML/MOM,weibull3,     0.988,     1.724,     2.058,     2.239,       NaN,     4.068,       NaN,       NaN,     4.575,       NaN,       NaN,     4.772,       NaN,       NaN,     5.017,       NaN,       NaN,     5.064,       NaN,       NaN,     5.137,       NaN,       NaN,     5.193,       NaN,       NaN,     5.362,       NaN,
NW,44,     2.616,yes,     0.000,ML/MOM,weibull3,     0.867,     1.666,     2.154,     2.239,       NaN,     3.001,       NaN,       NaN,     3.682,       NaN,       NaN,     3.917,       NaN,       NaN,     4.199,       NaN,       NaN,     4.253,       NaN,       NaN,     4.335,       NaN,       NaN,     4.397,       NaN,       NaN,     4.583,       NaN,
