Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,321,    19.088,yes,     0.000,ML/MOM,weibull3,     0.802,     1.427,     3.186,     3.291,       NaN,     4.897,       NaN,       NaN,     5.508,       NaN,       NaN,     5.750,       NaN,       NaN,     6.056,       NaN,       NaN,     6.115,       NaN,       NaN,     6.207,       NaN,       NaN,     6.278,       NaN,       NaN,     6.494,       NaN,
SE,9,     0.535,yes,     0.000,ML/MOM,weibull3,     0.979,     1.907,     2.987,     3.291,       NaN,     2.928,       NaN,       NaN,     3.958,       NaN,       NaN,     4.271,       NaN,       NaN,     4.601,       NaN,       NaN,     4.659,       NaN,       NaN,     4.748,       NaN,       NaN,     4.814,       NaN,       NaN,     5.007,       NaN,
S,312,    18.553,yes,     0.000,ML/MOM,weibull3,     0.801,     1.421,     3.188,     3.291,       NaN,     4.891,       NaN,       NaN,     5.508,       NaN,       NaN,     5.752,       NaN,       NaN,     6.061,       NaN,       NaN,     6.121,       NaN,       NaN,     6.214,       NaN,       NaN,     6.286,       NaN,       NaN,     6.504,       NaN,
