date,station,lon,lat,nearest1,dist1,nearest2,dist2,med05,std05,med1,std1,med2,std2
20150516,Stilbaai,2.143518448E1,-3.437149506E1,1.6945E1,0.433609624481412,1.6955E1,0.593770539143778,1.7036E1,0.297966360526736,1.7035E1,0.795958635208497,1.7977E1,1.6918915346312
20150517,Stilbaai,2.143518448E1,-3.437149506E1,1.6778E1,0.433609624481412,1.6773E1,0.593770539143778,1.6907E1,0.302093512346575,1.6973E1,0.915135994494916,1.788E1,1.78757842680484
20150518,Stilbaai,2.143518448E1,-3.437149506E1,1.6852E1,0.433609624481412,1.6855E1,0.593770539143778,1.6913E1,0.252861498486436,1.6969E1,0.920725202416157,1.7909E1,1.94911764388728
20150519,Stilbaai,2.143518448E1,-3.437149506E1,1.6818E1,0.433609624481412,1.6811E1,0.593770539143778,1.6953E1,0.36422701889655,1.71665E1,0.93506534290782,1.8329E1,2.07422061035214
20150520,Stilbaai,2.143518448E1,-3.437149506E1,1.6915E1,0.433609624481412,1.6913E1,0.593770539143778,1.7049E1,0.276989970987425,1.7149E1,0.903004695602393,1.8372E1,2.19486766139049
20150521,Stilbaai,2.143518448E1,-3.437149506E1,1.6459E1,0.433609624481412,1.646E1,0.593770539143778,1.6923E1,0.315228513715896,1.7153E1,0.889726432807903,1.83E1,2.13813638250716
20150522,Stilbaai,2.143518448E1,-3.437149506E1,1.6301E1,0.433609624481412,1.6304E1,0.593770539143778,1.6514E1,0.287409565245185,1.6955E1,0.869846881209548,1.8096E1,1.98687713603763
20150523,Stilbaai,2.143518448E1,-3.437149506E1,1.6327E1,0.433609624481412,1.633E1,0.593770539143778,1.6417E1,0.267234979923768,1.6856E1,0.848673273602112,1.8049E1,1.88772191955355
20150524,Stilbaai,2.143518448E1,-3.437149506E1,1.6423E1,0.433609624481412,1.6426E1,0.593770539143778,1.6494E1,0.246957951305245,1.6835E1,0.851824505752249,1.7878E1,1.89919385172273
20150525,Stilbaai,2.143518448E1,-3.437149506E1,1.6867E1,0.433609624481412,1.6873E1,0.593770539143778,1.6845E1,0.290162841844153,1.6931E1,0.86765955984604,1.7982E1,1.87885994791019
20150526,Stilbaai,2.143518448E1,-3.437149506E1,1.7078E1,0.433609624481412,1.7089E1,0.593770539143778,1.7181E1,0.229980604227679,1.7245E1,0.880550334831019,1.8036E1,1.92680046638387
20150527,Stilbaai,2.143518448E1,-3.437149506E1,1.7002E1,0.433609624481412,1.7014E1,0.593770539143778,1.7161E1,0.228395119820032,1.724E1,1.16878208567543,1.7938E1,2.21478281871623
20150528,Stilbaai,2.143518448E1,-3.437149506E1,1.6905E1,0.433609624481412,1.6917E1,0.593770539143778,1.7096E1,0.228363109268468,1.7241E1,1.17481065951287,1.7848E1,2.2355692179584
20150529,Stilbaai,2.143518448E1,-3.437149506E1,1.6873E1,0.433609624481412,1.6876E1,0.593770539143778,1.7035E1,0.23237267842672,1.7234E1,1.12248476999642,1.7851E1,2.19262725708697
20150530,Stilbaai,2.143518448E1,-3.437149506E1,1.6616E1,0.433609624481412,1.6616E1,0.593770539143778,1.6746E1,0.202861039231537,1.6837E1,0.81045447895134,1.7792E1,1.66773217190392
20150531,Stilbaai,2.143518448E1,-3.437149506E1,1.6176E1,0.433609624481412,1.6173E1,0.593770539143778,1.6518E1,0.239297851360813,1.6738E1,0.887051036431536,1.7734E1,1.61295642809694
20150601,Stilbaai,2.143518448E1,-3.437149506E1,1.5999E1,0.433609624481412,1.5995E1,0.593770539143778,1.6387E1,0.241904408275013,1.6598E1,0.781949091678902,1.7611E1,1.61201601259097
20150602,Stilbaai,2.143518448E1,-3.437149506E1,1.5972E1,0.433609624481412,1.5966E1,0.593770539143778,1.5986E1,0.274057824853253,1.6139E1,0.678138988325037,1.7157E1,1.72845775260019
20150603,Stilbaai,2.143518448E1,-3.437149506E1,1.6268E1,0.433609624481412,1.6267E1,0.593770539143778,1.6068E1,0.209975912915685,1.6201E1,0.648782680322273,1.6869E1,1.64433922942434
20150604,Stilbaai,2.143518448E1,-3.437149506E1,1.6272E1,0.433609624481412,1.6274E1,0.593770539143778,1.6044E1,0.165388613531737,1.6167E1,0.663235136558733,1.6895E1,1.57897247296473
20150605,Stilbaai,2.143518448E1,-3.437149506E1,1.6266E1,0.433609624481412,1.627E1,0.593770539143778,1.6058E1,0.141494681454381,1.6144E1,0.746544481394689,1.7034E1,1.68224619074946
20150606,Stilbaai,2.143518448E1,-3.437149506E1,1.6141E1,0.433609624481412,1.6145E1,0.593770539143778,1.6072E1,0.144058451681572,1.6153E1,0.897311532293672,1.722E1,1.94917069748333
