date,station,lon,lat,nearest1,dist1,climnear1,nearest2,dist2,climnear2,med05,std05,clim05,med1,std1,clim1,med2,std2,clim2
19910901,Muizenberg,1.848363876E1,-3.410398726E1,1.40599935822189E1,1.31499981940932E1,1.77174935004674E1,1.35799935929477E1,1.38809492272353E1,1.99799934498966E1,1.39799935840071E1,0.509557910109431,1.84637434837874E1,1.46099935699255E1,0.934452029173483,1.87199934780598E1,1.49399935625494E1,1.09370597399284,2.02749934433028E1
19910902,Muizenberg,1.848363876E1,-3.410398726E1,1.39699935842306E1,1.31499981940932E1,1.77174935004674E1,1.34899935949594E1,1.38809492272353E1,1.99799934498966E1,1.39099935855717E1,0.523611852235652,1.84637434837874E1,1.46199935697019E1,0.946896533853192,1.87199934780598E1,1.49449935624377E1,1.10145204784918,2.02749934433028E1
19910903,Muizenberg,1.848363876E1,-3.410398726E1,1.41899935793132E1,1.31499981940932E1,1.77174935004674E1,1.37399935893715E1,1.38809492272353E1,1.99799934498966E1,1.41149935809896E1,0.525741528044371,1.84637434837874E1,1.47899935659022E1,0.903002958022288,1.87199934780598E1,1.50299935605377E1,1.04679574232923,2.02749934433028E1
19910904,Muizenberg,1.848363876E1,-3.410398726E1,1.44799935728312E1,1.31499981940932E1,1.77174935004674E1,1.4289993577078E1,1.38809492272353E1,1.99799934498966E1,1.44899935726076E1,0.451276560851956,1.84637434837874E1,1.49599935621023E1,0.780752832374174,1.87199934780598E1,1.50899935591966E1,0.975930335994199,2.02749934433028E1
19910905,Muizenberg,1.848363876E1,-3.410398726E1,1.46299935694784E1,1.31499981940932E1,1.77174935004674E1,1.46499935690314E1,1.38809492272353E1,1.99799934498966E1,1.46399935692549E1,0.459564213055119,1.84637434837874E1,1.49599935621024E1,0.730268685581405,1.87199934780598E1,1.51349935581908E1,1.03599466517289,2.02749934433028E1
19910906,Muizenberg,1.848363876E1,-3.410398726E1,1.46299935694784E1,1.31499981940932E1,1.77174935004674E1,1.46499935690314E1,1.38809492272353E1,1.99799934498966E1,1.46399935692549E1,0.451011534165448,1.84637434837874E1,1.49599935621023E1,0.718497750720003,1.87199934780598E1,1.5139993558079E1,1.01003749440293,2.02749934433028E1
19910907,Muizenberg,1.848363876E1,-3.410398726E1,1.46399935692549E1,1.31499981940932E1,1.77174935004674E1,1.46499935690314E1,1.38809492272353E1,1.99799934498966E1,1.46449935691432E1,0.446108566855957,1.84637434837874E1,1.49799935616553E1,0.718042853819097,1.87199934780598E1,1.51649935575203E1,1.00346927314365,2.02749934433028E1
19910908,Muizenberg,1.848363876E1,-3.410398726E1,1.40999935813248E1,1.31499981940932E1,1.77174935004674E1,1.38899935860187E1,1.38809492272353E1,1.99799934498966E1,1.40999935813248E1,0.772420303657497,1.84637434837874E1,1.48749935640023E1,1.00618984447024,1.87199934780598E1,1.51149935586379E1,1.19112805894281,2.02749934433028E1
19910909,Muizenberg,1.848363876E1,-3.410398726E1,1.40699935819954E1,1.31499981940932E1,1.77174935004674E1,1.36499935913831E1,1.38809492272353E1,1.99799934498966E1,1.41499935802073E1,0.782832076221385,1.84637434837874E1,1.48299935650081E1,1.12078011549189,1.87199934780598E1,1.51899935569614E1,1.23616292420819,2.02749934433028E1
19910910,Muizenberg,1.848363876E1,-3.410398726E1,1.4019993583113E1,1.31499981940932E1,1.77174935004674E1,1.35999935925007E1,1.38809492272353E1,1.99799934498966E1,1.40899935815484E1,0.79408944806055,1.84637434837874E1,1.48249935651198E1,1.12326388043856,1.87199934780598E1,1.5139993558079E1,1.22443805302176,2.02749934433028E1
19910911,Muizenberg,1.848363876E1,-3.410398726E1,1.51899935569614E1,1.31499981940932E1,1.77174935004674E1,1.43199935764075E1,1.38809492272353E1,1.99799934498966E1,1.49799935616554E1,0.86270206794325,1.84637434837874E1,1.5429993551597E1,1.17609203095353,1.87199934780598E1,1.544999355115E1,1.2152100324852,2.02749934433028E1
19910912,Muizenberg,1.848363876E1,-3.410398726E1,1.55499935489148E1,1.31499981940932E1,1.77174935004674E1,1.47299935672432E1,1.38809492272353E1,1.99799934498966E1,1.53749935528264E1,0.886896437541529,1.84637434837874E1,1.56749935461208E1,1.16552358134542,1.87199934780598E1,1.55549935488031E1,1.21161319695237,2.02749934433028E1
19910913,Muizenberg,1.848363876E1,-3.410398726E1,1.55899935480207E1,1.31499981940932E1,1.77174935004674E1,1.47899935659021E1,1.38809492272353E1,1.99799934498966E1,1.54299935515971E1,0.876972291695723,1.84637434837874E1,1.57449935445562E1,1.14817107688771,1.87199934780598E1,1.56049935476855E1,1.18811302760097,2.02749934433028E1
19910914,Muizenberg,1.848363876E1,-3.410398726E1,1.52799935549498E1,1.31499981940932E1,1.77174935004674E1,1.45399935714901E1,1.38809492272353E1,1.99799934498966E1,1.52299935560674E1,0.811431776884095,1.84637434837874E1,1.57749935438857E1,1.04685858012852,1.87199934780598E1,1.5574993548356E1,1.07452532145683,2.02749934433028E1
19910915,Muizenberg,1.848363876E1,-3.410398726E1,1.5159993557632E1,1.31499981940932E1,1.77174935004674E1,1.44199935741723E1,1.38809492272353E1,1.99799934498966E1,1.51349935581908E1,0.823065566184106,1.84637434837874E1,1.57299935448915E1,1.05768281436925,1.87199934780598E1,1.55599935486913E1,1.07429750176469,2.02749934433028E1
19910916,Muizenberg,1.848363876E1,-3.410398726E1,1.5159993557632E1,1.31499981940932E1,1.77174935004674E1,1.44299935739488E1,1.38809492272353E1,1.99799934498966E1,1.51249935584143E1,0.82042923922576,1.84637434837874E1,1.5759993544221E1,1.05880625021243,1.87199934780598E1,1.55799935482443E1,1.07363145222378,2.02749934433028E1
19910917,Muizenberg,1.848363876E1,-3.410398726E1,1.49799935616553E1,1.31499981940932E1,1.77174935004674E1,1.42399935781956E1,1.38809492272353E1,1.99799934498966E1,1.49099935632199E1,0.80497860266141,1.84637434837874E1,1.55099935498089E1,1.04391503093775,1.87199934780598E1,1.54699935507029E1,1.08989831445439,2.02749934433028E1
19910918,Muizenberg,1.848363876E1,-3.410398726E1,1.4849993564561E1,1.31499981940932E1,1.77174935004674E1,1.40499935824424E1,1.38809492272353E1,1.99799934498966E1,1.47949935657904E1,0.892388080455596,1.84637434837874E1,1.55749935483561E1,1.08654785251156,1.87199934780598E1,1.55599935486913E1,1.03058622484511,2.02749934433028E1
19910919,Muizenberg,1.848363876E1,-3.410398726E1,1.47799935661257E1,1.31499981940932E1,1.77174935004674E1,1.39899935837835E1,1.38809492272353E1,1.99799934498966E1,1.4744993566908E1,0.893481101538018,1.84637434837874E1,1.55449935490266E1,1.08955407715634,1.87199934780598E1,1.55649935485796E1,1.02987280309777,2.02749934433028E1
19910920,Muizenberg,1.848363876E1,-3.410398726E1,1.49599935621023E1,1.31499981940932E1,1.77174935004674E1,1.40099935833365E1,1.38809492272353E1,1.99799934498966E1,1.47949935657904E1,1.00251709949573,1.84637434837874E1,1.5594993547909E1,1.1679388604388,1.87199934780598E1,1.56699935462326E1,1.00204326280985,2.02749934433028E1
19910921,Muizenberg,1.848363876E1,-3.410398726E1,1.50699935596436E1,1.31499981940932E1,1.77174935004674E1,1.4289993577078E1,1.38809492272353E1,1.99799934498966E1,1.49499935623259E1,0.91427555007938,1.84637434837874E1,1.57499935444445E1,1.13033606770438,1.87199934780598E1,1.58049935432152E1,0.986954081097098,2.02749934433028E1
