Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,814,    48.398,yes,     0.000,ML/MOM,weibull3,     0.501,     1.182,     2.123,     2.140,       NaN,     3.702,       NaN,       NaN,     4.240,       NaN,       NaN,     4.464,       NaN,       NaN,     4.755,       NaN,       NaN,     4.812,       NaN,       NaN,     4.901,       NaN,       NaN,     4.971,       NaN,       NaN,     5.183,       NaN,
E,132,     7.848,yes,     0.000,ML/MOM,weibull3,     0.414,     1.153,     2.119,     2.140,       NaN,     2.893,       NaN,       NaN,     3.397,       NaN,       NaN,     3.604,       NaN,       NaN,     3.871,       NaN,       NaN,     3.923,       NaN,       NaN,     4.005,       NaN,       NaN,     4.069,       NaN,       NaN,     4.263,       NaN,
SE,487,    28.955,yes,     0.000,ML/MOM,weibull3,     0.538,     1.169,     2.115,     2.140,       NaN,     3.635,       NaN,       NaN,     4.239,       NaN,       NaN,     4.490,       NaN,       NaN,     4.814,       NaN,       NaN,     4.878,       NaN,       NaN,     4.979,       NaN,       NaN,     5.056,       NaN,       NaN,     5.294,       NaN,
S,195,    11.594,yes,     0.000,ML/MOM,weibull3,     0.606,     1.668,     2.043,     2.140,       NaN,     3.080,       NaN,       NaN,     3.447,       NaN,       NaN,     3.586,       NaN,       NaN,     3.758,       NaN,       NaN,     3.791,       NaN,       NaN,     3.842,       NaN,       NaN,     3.881,       NaN,       NaN,     3.999,       NaN,
