Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,295,    17.540,yes,     0.000,ML/MOM,weibull3,     0.441,     0.940,     2.923,     2.933,       NaN,     4.272,       NaN,       NaN,     5.091,       NaN,       NaN,     5.450,       NaN,       NaN,     5.930,       NaN,       NaN,     6.026,       NaN,       NaN,     6.177,       NaN,       NaN,     6.295,       NaN,       NaN,     6.664,       NaN,
NE,9,     0.535,yes,     0.000,ML/MOM,weibull3,     0.292,     1.238,     2.895,     2.933,       NaN,     2.731,       NaN,       NaN,     3.183,       NaN,       NaN,     3.338,       NaN,       NaN,     3.526,       NaN,       NaN,     3.561,       NaN,       NaN,     3.616,       NaN,       NaN,     3.658,       NaN,       NaN,     3.786,       NaN,
E,41,     2.438,yes,     0.000,ML/MOM,weibull3,     0.339,     0.903,     2.916,     2.933,       NaN,     3.214,       NaN,       NaN,     3.851,       NaN,       NaN,     4.141,       NaN,       NaN,     4.536,       NaN,       NaN,     4.616,       NaN,       NaN,     4.742,       NaN,       NaN,     4.841,       NaN,       NaN,     5.151,       NaN,
SE,81,     4.816,yes,     0.000,ML/MOM,weibull3,     0.602,     0.944,     2.912,     2.933,       NaN,     3.883,       NaN,       NaN,     4.962,       NaN,       NaN,     5.437,       NaN,       NaN,     6.074,       NaN,       NaN,     6.202,       NaN,       NaN,     6.404,       NaN,       NaN,     6.561,       NaN,       NaN,     7.051,       NaN,
S,164,     9.751,yes,     0.000,ML/MOM,weibull3,     0.481,     1.176,     2.883,     2.933,       NaN,     3.851,       NaN,       NaN,     4.408,       NaN,       NaN,     4.637,       NaN,       NaN,     4.931,       NaN,       NaN,     4.988,       NaN,       NaN,     5.079,       NaN,       NaN,     5.148,       NaN,       NaN,     5.362,       NaN,
