Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,815,    48.457,yes,     0.000,ML/MOM,weibull3,     0.512,     1.219,     1.995,     2.020,       NaN,     3.553,       NaN,       NaN,     4.067,       NaN,       NaN,     4.279,       NaN,       NaN,     4.553,       NaN,       NaN,     4.607,       NaN,       NaN,     4.691,       NaN,       NaN,     4.756,       NaN,       NaN,     4.956,       NaN,
E,123,     7.313,yes,     0.000,ML/MOM,weibull3,     0.394,     1.087,     1.989,     2.020,       NaN,     2.732,       NaN,       NaN,     3.271,       NaN,       NaN,     3.496,       NaN,       NaN,     3.790,       NaN,       NaN,     3.848,       NaN,       NaN,     3.939,       NaN,       NaN,     4.009,       NaN,       NaN,     4.226,       NaN,
SE,568,    33.771,yes,     0.000,ML/MOM,weibull3,     0.575,     1.285,     1.992,     2.020,       NaN,     3.524,       NaN,       NaN,     4.045,       NaN,       NaN,     4.258,       NaN,       NaN,     4.531,       NaN,       NaN,     4.585,       NaN,       NaN,     4.668,       NaN,       NaN,     4.732,       NaN,       NaN,     4.929,       NaN,
S,124,     7.373,yes,     0.000,ML/MOM,weibull3,     0.415,     1.433,     1.971,     2.020,       NaN,     2.644,       NaN,       NaN,     2.987,       NaN,       NaN,     3.120,       NaN,       NaN,     3.286,       NaN,       NaN,     3.318,       NaN,       NaN,     3.367,       NaN,       NaN,     3.405,       NaN,       NaN,     3.521,       NaN,
