Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,810,    48.254,yes,     0.000,ML/MOM,weibull3,     0.518,     1.055,     2.084,     2.080,       NaN,     3.955,       NaN,       NaN,     4.684,       NaN,       NaN,     4.995,       NaN,       NaN,     5.403,       NaN,       NaN,     5.483,       NaN,       NaN,     5.611,       NaN,       NaN,     5.709,       NaN,       NaN,     6.015,       NaN,
NE,34,     2.025,no,     0.000,ML/MOM,weibull3,     0.296,     1.431,     2.038,     2.080,       NaN,     2.270,       NaN,       NaN,     2.569,       NaN,       NaN,     2.676,       NaN,       NaN,     2.807,       NaN,       NaN,     2.831,       NaN,       NaN,     2.870,       NaN,       NaN,     2.899,       NaN,       NaN,     2.988,       NaN,
E,141,     8.400,yes,     0.000,ML/MOM,weibull3,     0.406,     0.938,     2.096,     2.080,       NaN,     3.005,       NaN,       NaN,     3.753,       NaN,       NaN,     4.082,       NaN,       NaN,     4.523,       NaN,       NaN,     4.611,       NaN,       NaN,     4.751,       NaN,       NaN,     4.860,       NaN,       NaN,     5.199,       NaN,
SE,292,    17.395,yes,     0.000,ML/MOM,weibull3,     0.619,     1.066,     2.039,     2.080,       NaN,     3.696,       NaN,       NaN,     4.559,       NaN,       NaN,     4.924,       NaN,       NaN,     5.402,       NaN,       NaN,     5.497,       NaN,       NaN,     5.646,       NaN,       NaN,     5.761,       NaN,       NaN,     6.118,       NaN,
S,343,    20.433,yes,     0.000,ML/MOM,weibull3,     0.587,     1.303,     2.064,     2.080,       NaN,     3.435,       NaN,       NaN,     3.967,       NaN,       NaN,     4.182,       NaN,       NaN,     4.457,       NaN,       NaN,     4.511,       NaN,       NaN,     4.595,       NaN,       NaN,     4.659,       NaN,       NaN,     4.856,       NaN,
