Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,232,    13.796,yes,     0.000,ML/MOM,weibull3,     0.404,     1.279,     2.143,     2.167,       NaN,     3.002,       NaN,       NaN,     3.392,       NaN,       NaN,     3.549,       NaN,       NaN,     3.749,       NaN,       NaN,     3.788,       NaN,       NaN,     3.849,       NaN,       NaN,     3.896,       NaN,       NaN,     4.040,       NaN,
SW,170,    10.109,yes,     0.000,ML/MOM,weibull3,     0.393,     1.206,     2.154,     2.167,       NaN,     2.941,       NaN,       NaN,     3.373,       NaN,       NaN,     3.549,       NaN,       NaN,     3.775,       NaN,       NaN,     3.819,       NaN,       NaN,     3.888,       NaN,       NaN,     3.941,       NaN,       NaN,     4.105,       NaN,
W,61,     3.627,yes,     0.000,ML/MOM,weibull3,     0.522,     1.851,     2.044,     2.167,       NaN,     2.643,       NaN,       NaN,     2.972,       NaN,       NaN,     3.086,       NaN,       NaN,     3.222,       NaN,       NaN,     3.247,       NaN,       NaN,     3.287,       NaN,       NaN,     3.317,       NaN,       NaN,     3.406,       NaN,
