Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,831,    49.408,no,     0.000,ML/MOM,weibull3,     0.420,     0.982,     2.170,     2.130,       NaN,     3.849,       NaN,       NaN,     4.557,       NaN,       NaN,     4.863,       NaN,       NaN,     5.268,       NaN,       NaN,     5.349,       NaN,       NaN,     5.477,       NaN,       NaN,     5.576,       NaN,       NaN,     5.883,       NaN,
NE,42,     2.497,yes,     0.000,ML/MOM,weibull3,     0.193,     1.092,     2.132,     2.130,       NaN,     2.310,       NaN,       NaN,     2.582,       NaN,       NaN,     2.694,       NaN,       NaN,     2.838,       NaN,       NaN,     2.867,       NaN,       NaN,     2.912,       NaN,       NaN,     2.946,       NaN,       NaN,     3.052,       NaN,
E,214,    12.724,yes,     0.000,ML/MOM,weibull3,     0.443,     1.185,     2.121,     2.130,       NaN,     3.095,       NaN,       NaN,     3.594,       NaN,       NaN,     3.799,       NaN,       NaN,     4.063,       NaN,       NaN,     4.115,       NaN,       NaN,     4.196,       NaN,       NaN,     4.258,       NaN,       NaN,     4.450,       NaN,
SE,393,    23.366,yes,     0.000,ML/MOM,weibull3,     0.518,     1.018,     2.163,     2.130,       NaN,     3.762,       NaN,       NaN,     4.561,       NaN,       NaN,     4.904,       NaN,       NaN,     5.356,       NaN,       NaN,     5.446,       NaN,       NaN,     5.587,       NaN,       NaN,     5.697,       NaN,       NaN,     6.037,       NaN,
S,182,    10.821,no,     0.000,ML/MOM,weibull3,     0.487,     1.381,     2.096,     2.130,       NaN,     3.009,       NaN,       NaN,     3.423,       NaN,       NaN,     3.586,       NaN,       NaN,     3.792,       NaN,       NaN,     3.831,       NaN,       NaN,     3.893,       NaN,       NaN,     3.941,       NaN,       NaN,     4.086,       NaN,
