Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,192,    11.416,yes,     0.000,ML/MOM,weibull3,     0.344,     0.967,     2.178,     2.199,       NaN,     3.041,       NaN,       NaN,     3.637,       NaN,       NaN,     3.896,       NaN,       NaN,     4.240,       NaN,       NaN,     4.309,       NaN,       NaN,     4.418,       NaN,       NaN,     4.503,       NaN,       NaN,     4.766,       NaN,
E,26,     1.546,yes,     0.000,ML/MOM,weibull3,     0.221,     0.869,     2.211,     2.199,       NaN,     2.296,       NaN,       NaN,     2.713,       NaN,       NaN,     2.914,       NaN,       NaN,     3.191,       NaN,       NaN,     3.248,       NaN,       NaN,     3.338,       NaN,       NaN,     3.408,       NaN,       NaN,     3.630,       NaN,
SE,155,     9.216,yes,     0.000,ML/MOM,weibull3,     0.380,     0.999,     2.170,     2.199,       NaN,     3.015,       NaN,       NaN,     3.629,       NaN,       NaN,     3.894,       NaN,       NaN,     4.243,       NaN,       NaN,     4.313,       NaN,       NaN,     4.423,       NaN,       NaN,     4.508,       NaN,       NaN,     4.773,       NaN,
S,11,     0.654,yes,     0.000,ML/MOM,weibull3,     0.189,     1.303,     2.214,     2.199,       NaN,     2.141,       NaN,       NaN,     2.429,       NaN,       NaN,     2.520,       NaN,       NaN,     2.630,       NaN,       NaN,     2.650,       NaN,       NaN,     2.682,       NaN,       NaN,     2.707,       NaN,       NaN,     2.780,       NaN,
